,ent1,ent2,relation
2362,Cardiac Cardiac syndrome X,,characterized
2363,ischemic  changes,,mandated
2364,syndrome  factors,,unknown
2365,blockages  it,,harder
2366,recent  data,attitude,considered
2367,Syndrome Evaluation microvascular angina,higher heart rates,suggest
2368,pain Angina discomfort,pressure  sensation,described
2369,anginal  pains,,experienced
2370,that,ability  two,explained
2371,Typical  locations,,arms
2372,Angina,,precipitated
2373,It,full  stomach,exacerbated
2374,Pain,,accompanied
2375,blood pressure,,increases
2376,Chest  pain,few  seconds,angina
2377,when  myocardium,insufficient heart blood,comes
2378,inadequate  perfusion,,correlated
2379,experience,,symptoms
2380,Major risk factors,angina cigarette smoking,include
2381,variant  form,,occurs
2382,It,,believed
2383,It,,occurs
2384,Coital  angina,,angina subsequent
2385,It,,rare
2386,physical  activity,significantly  behavior,recommended
2387,One  smokers,increased artery level,found
2388,nicotine heart which,,addition
2389,Disease Control Disease risk,,reports
2390,those  that,those  smoking,found
2391,Studies,,found
2392,heart blood that,,result
2393,,,resistance
2394,This,,caused
2395,Blood flow,,proportional
2396,,,capacity
2397,This,hemoglobin  oxygen,decreases
2398,Atherosclerosis,,cause
2399,angina X. Myocardial ischemia,factors blood composition,cause
2400,Pathophysiology Angina,,results
2401,imbalance,,result
2402,However  pathophysiology,,varies
2403,coronary  disease,,common
2404,chest  that,chest  discomfort,suspected
2405,,,Associated
2406,,,Precipitated
2407,,,people present
2408,atypical  symptoms,,likely
2409,Anginal  pain,,sharp
2410,Antacids,usually  pain,relieve
2411,glyceryl trinitrate glyceryl likelihood,,increased
2412,,chest  pain,normal
2413,,,observed
2414,ST  test,ST  depression,considered diagnostic
2415,constant  monitoring,,lead
2416,exercise test,,useful
2417,whom sestamibi ECG,unable sestamibi enough,include
2418,lesion  this,typically  nature,performed
2419,syndromes  those,coronary ECG angiography,undergo coronary
2420,Treatment Angina pectoris,,occurs
2421,heart oxygen it,inaqedate oxygen supply,limited
2422,main  goals,symptoms  progression,relief
2423,short-acting nitroglycerin medications,large  body,have
2424,angina  patient,,are
2425,which  they,brief  overview,provide
2426,Beta blockers,,preferred
2427,Nevibolol blocking which,cAMP,agents such
2428,muscle cells heart muscle which,usually Ca+2 levels,increase
2429,heart muscle heart it,less oxygen demand,decreases
2430,B1 cardioselective B1 blockers,,is
2431,doses  it,selectivity hypertension,means
2432,vasodilatory  organonitrates,when  use,complement
2433,preference,,blockers
2434,lesser beta blocker,sympathetic  activity,do
2435,common  beta-blocker,,Acebutolol
2436,beta-adrenergic  antagonists,same  action,yield
2437,medications,,act
2438,B1 blockade,,occurs
2439,Specifically  cAMP,Myosin Light Kinase,responsible
2440,cAMP  which,,result
2441,that,patients  medication,increased
2442,Calcium channel blockers,oxygen calcium channels,act
2443,muscle cell heart muscle it,therefore  need,form
2444,medication  that,angina, 
2445,Organic  nitrates,extensively  angina,used
2446,heart muscle heart which,heart blood perfusion,improve coronary
2447,drugs,vascular  resistance,reduce systemic
2448,myocardial oxygen which,myocardial oxygen demand,decreases
2449,potent  that,myocardial oxygen workload,vasodilator
2450,hours  combination,serious  drop,given
2451,which balloon balloon,arterial  lumen,angioplasty
2452,Stents,arterial  widening,used
2453,Coronary bypass surgery,constricted  arteries,involves
2454,This,,invasive
2455,Calcium channel blockers,,vasodilators
2456,recently  Ivabradine,heart rate contractility,made available
2457,ACE inhibitors,,vasodilators
2458,used lipid/cholesterol which,atheromatous  plaque,modifiers
2459,Low-dose  aspirin,risk,decreases
2460,longer  risk,bleeding  benefits,offsets
2461,Exercise,coronary artery collateralisation,treatment
2462,patients  evidence,use,support
2463,Identifying,risk factors,priority
2464,This,high smoking cessation,means
2465,channel blocker nifedipine,event-  survival,prolongs cardiovascular
2466,however mortality rate difference,,reduced
2467,Microvascular angina,often women symptoms,have
2468,many  women,cardiac  ischemia,found
2469,microvascular disease microvascular condition,,accumulating
2470,ischemic arterioles that,ischemic arterioles pain,constrict
2471,endothelial  dysfunction,adipokines platelet factors,complex
2472,diagnosis,MVA  catheterization,require
2473,New  techniques,magnetic Doppler echocardiography,include
2474,example  women,nitrates  those,challenging
2475,Women,traditional risk factors,have traditional
2476,Aggressive  interventions,modifiable risk factors,component
2477,combination,Ranolazine HMG-CoA reductase promise,effective
2478,Other  approaches,spinal cord stimulators,include spinal
2479,exertion  that,unstable  angina,recommended
2480,people,,referred
2481,1.7 10.2 million,angina,affects
2482,Angina,,symptom
2483,prevalence,,rises
2484,4.8  %,,died
2485,Men,increased  risk,found
2486,Similar  figures,,apply
2487,countries  it,,termed
2488,condition,,named
2489,External  links,2006 American Heart statistics,pain
2490,arteries  that,blood,obstruction
2491,Other  causes,anemia,include
2492,main  mechanism,,atherosclerosis
2493,term,,derives
2494,infarction heart attack,,is
2495,cases  angina,,severe
2496,century  this,,sign
2497,therapies  outlook,,improved
2498,angina  grading,15 survival minutes,have
2499,heart they,medical  attention,require urgent
2500,effort angina effort this,,known
2501,angina  that,,is
2502,Symptoms,several  minutes,abate several
2503,stable  angina,,thought of
2504,,cold  weather,recognized
2505,pectoris  that,,defined
2506,rest crescendo which,10  minutes,occurs
2507,differentiates,stable  angina,pathophysiology
2508,pathophysiology,,reduction
2509,ischemia  which,thrombosis,progresses
2510,22:00  patients,,show
2511,developing  atheroma,,protected
2512,angina blood clots,further  area,rupture
2513,unstable  angina,,explains
2514,Cardiac Cardiac syndrome X,,characterized
2515,ischemic  changes,,mandated
2516,syndrome  factors,,unknown
2517,blockages  it,,harder
2518,recent  data,attitude,considered
2519,Syndrome Evaluation microvascular angina,higher heart rates,suggest
2520,pain Angina discomfort,pressure  sensation,described
2521,anginal  pains,,experienced
2522,that,ability  two,explained
2523,Typical  locations,,arms
2524,Angina,,precipitated
2525,It,full  stomach,exacerbated
2526,Pain,,accompanied
2527,blood pressure,,increases
2528,Chest  pain,few  seconds,angina
2529,when  myocardium,insufficient heart blood,comes
2530,inadequate  perfusion,,correlated
2531,experience,,symptoms
2532,Major risk factors,angina cigarette smoking,include
2533,variant  form,,occurs
2534,It,,believed
2535,It,,occurs
2536,Coital  angina,,angina subsequent
2537,It,,rare
2538,physical  activity,significantly  behavior,recommended
2539,One  smokers,increased artery level,found
2540,nicotine heart which,,addition
2541,Disease Control Disease risk,,reports
2542,those  that,those  smoking,found
2543,Studies,,found
2544,heart blood that,,result
2545,,,resistance
2546,This,,caused
2547,Blood flow,,proportional
2548,,,capacity
2549,This,hemoglobin  oxygen,decreases
2550,Atherosclerosis,,cause
2551,angina X. Myocardial ischemia,factors blood composition,cause
2552,Pathophysiology Angina,,results
2553,imbalance,,result
2554,However  pathophysiology,,varies
2555,coronary  disease,,common
2556,chest  that,chest  discomfort,suspected
2557,,,Associated
2558,,,Precipitated
2559,,,people present
2560,atypical  symptoms,,likely
2561,Anginal  pain,,sharp
2562,Antacids,usually  pain,relieve
2563,glyceryl trinitrate glyceryl likelihood,,increased
2564,,chest  pain,normal
2565,,,observed
2566,ST  test,ST  depression,considered diagnostic
2567,constant  monitoring,,lead
2568,exercise test,,useful
2569,whom sestamibi ECG,unable sestamibi enough,include
2570,lesion  this,typically  nature,performed
2571,syndromes  those,coronary ECG angiography,undergo coronary
2572,Treatment Angina pectoris,,occurs
2573,heart oxygen it,inaqedate oxygen supply,limited
2574,main  goals,symptoms  progression,relief
2575,short-acting nitroglycerin medications,large  body,have
2576,angina  patient,,are
2577,which  they,brief  overview,provide
2578,Beta blockers,,preferred
2579,Nevibolol blocking which,cAMP,agents such
2580,muscle cells heart muscle which,usually Ca+2 levels,increase
2581,heart muscle heart it,less oxygen demand,decreases
2582,B1 cardioselective B1 blockers,,is
2583,doses  it,selectivity hypertension,means
2584,vasodilatory  organonitrates,when  use,complement
2585,preference,,blockers
2586,lesser beta blocker,sympathetic  activity,do
2587,common  beta-blocker,,Acebutolol
2588,beta-adrenergic  antagonists,same  action,yield
2589,medications,,act
2590,B1 blockade,,occurs
2591,Specifically  cAMP,Myosin Light Kinase,responsible
2592,cAMP  which,,result
2593,that,patients  medication,increased
2594,Calcium channel blockers,oxygen calcium channels,act
2595,muscle cell heart muscle it,therefore  need,form
2596,medication  that,angina, 
2597,Organic  nitrates,extensively  angina,used
2598,heart muscle heart which,heart blood perfusion,improve coronary
2599,drugs,vascular  resistance,reduce systemic
2600,myocardial oxygen which,myocardial oxygen demand,decreases
2601,potent  that,myocardial oxygen workload,vasodilator
2602,hours  combination,serious  drop,given
2603,which balloon balloon,arterial  lumen,angioplasty
2604,Stents,arterial  widening,used
2605,Coronary bypass surgery,constricted  arteries,involves
2606,This,,invasive
2607,Calcium channel blockers,,vasodilators
2608,recently  Ivabradine,heart rate contractility,made available
2609,ACE inhibitors,,vasodilators
2610,used lipid/cholesterol which,atheromatous  plaque,modifiers
2611,Low-dose  aspirin,risk,decreases
2612,longer  risk,bleeding  benefits,offsets
2613,Exercise,coronary artery collateralisation,treatment
2614,patients  evidence,use,support
2615,Identifying,risk factors,priority
2616,This,high smoking cessation,means
2617,channel blocker nifedipine,event-  survival,prolongs cardiovascular
2618,however mortality rate difference,,reduced
2619,Microvascular angina,often women symptoms,have
2620,many  women,cardiac  ischemia,found
2621,microvascular disease microvascular condition,,accumulating
2622,ischemic arterioles that,ischemic arterioles pain,constrict
2623,endothelial  dysfunction,adipokines platelet factors,complex
2624,diagnosis,MVA  catheterization,require
2625,New  techniques,magnetic Doppler echocardiography,include
2626,example  women,nitrates  those,challenging
2627,Women,traditional risk factors,have traditional
2628,Aggressive  interventions,modifiable risk factors,component
2629,combination,Ranolazine HMG-CoA reductase promise,effective
2630,Other  approaches,spinal cord stimulators,include spinal
2631,exertion  that,unstable  angina,recommended
2632,people,,referred
2633,1.7 10.2 million,angina,affects
2634,Angina,,symptom
2635,prevalence,,rises
2636,4.8  %,,died
2637,Men,increased  risk,found
2638,Similar  figures,,apply
2639,countries  it,,termed
2640,condition,,named
2641,United States United Angiopathy,generic  term,links
2642,most  angiopathy,,diabetic angiopathy
2643,Classification,,are
2644,,vessel walls vessel flow,sticks
2645,vascular heart which,other  complications,cause other
2646,so blood they,leak flow,become
2647,death clot which,turn  amputation,impairs
2648,which,retina oxygen blindness,develop
2649,Damage,peripheral nerve neuropathy,cause peripheral
2650,=  References,also  angiopathy,possible
2651,Anitschkow cells,,macrophages
2652,ovoid  that,ovoid  nucleus,called caterpillar
2653,Larger Anitschkow cells,giant  cells,coalesce
2654,Anitschkow cells,,named
2655,epithelial  cells,stomatitis iron deficiency chemotherapy,observed
2656,=  References,ankle-brachial pressure ratio,==
2657,lower blood pressure,blocked  arteries,suggests
2658,ABPI,systolic blood pressure,calculated
2659,Method  patient,,placed
2660,probe blood pressure cuff,grossly blood ABI,overestimate
2661,blood pressure cuff,,inflated proximal
2662,pulse,,continues
2663,blood pressure cuff,,deflated
2664,Doppler probe Doppler pressure,systolic  pressure,indicates
2665,systolic  reading,,used
2666,pressures,,measured
2667,systolic pressureThe ABPI test,,=
2668,Studies,50 98 % %,shown
2669,arteries stiff arteries,false ankle negatives,known
2670,This,disease diabetes diabetes,found
2671,ABPI values,,investigated
2672,Resting  ABPI,,insensitive
2673,patients  who,aneurysm assessment duration,used
2674,protocol standardisation protocol which,intra-observer  reliability,Lack
2675,Skilled  operators,,required
2676,however  issues,,rendered
2677,simultaneous  readings,oscillometric blood machines,emerging
2678,elbow pulse artery,subject  pressure,higher
2679,than  0.9,arterial  disease,considered normal
2680,ABPI value,vascular  disease,considered abnormal
2681,following ABPI ratios,well  nature,used
2682,also  assessment,diabetes ABPI ratios,indicate
2683,mortality  it,burden,suggests
